year,is_knockout,team_1_score,team_2_score,team_1_name,team_1_is_home_nation,team_1_top_goalscorers_count,team_1_premier_league_players,team_1_laliga_players,team_1_serie_a_players,team_1_bundesliga_players,team_1_ligue_1_players,team_1_players_finishing_top_three_europe_domestic,team_1_n_unique_clubs,team_1_qualified_last_time,team_1_made_r16_last_time,team_1_made_quarters_last_time,team_1_made_semis_last_time,team_1_made_final_last_time,team_1_ranking,team_2_name,team_2_is_home_nation,team_2_top_goalscorers_count,team_2_premier_league_players,team_2_laliga_players,team_2_serie_a_players,team_2_bundesliga_players,team_2_ligue_1_players,team_2_players_finishing_top_three_europe_domestic,team_2_n_unique_clubs,team_2_qualified_last_time,team_2_made_r16_last_time,team_2_made_quarters_last_time,team_2_made_semis_last_time,team_2_made_final_last_time,team_2_ranking
1994,0,1,1,brazil,0,1,0,3,2,3,2,6,17,1,1,0,0,0,3,sweden,0,0,0,0,0,0,0,0,2,1,0,0,0,0,10
1994,0,1,0,germany,0,0,0,0,3,13,2,7,15,1,1,1,1,1,1,bolivia,0,0,0,0,0,0,0,0,12,0,0,0,0,0,43
1994,0,2,2,spain,0,0,0,21,0,0,0,10,10,1,1,0,0,0,5,south korea,0,0,0,0,0,0,0,0,9,1,0,0,0,0,37
1994,0,1,1,germany,0,0,0,0,3,13,2,7,15,1,1,1,1,1,1,spain,0,0,0,21,0,0,0,10,10,1,1,0,0,0,5
1994,0,0,0,south korea,0,0,0,0,0,0,0,0,9,1,0,0,0,0,37,bolivia,0,0,0,0,0,0,0,0,12,0,0,0,0,0,43
1994,0,1,3,bolivia,0,0,0,0,0,0,0,0,12,0,0,0,0,0,43,spain,0,0,0,21,0,0,0,10,10,1,1,0,0,0,5
1994,0,3,2,germany,0,0,0,0,3,13,2,7,15,1,1,1,1,1,1,south korea,0,0,0,0,0,0,0,0,9,1,0,0,0,0,37
1994,0,4,0,argentina,0,0,0,3,4,1,0,2,17,1,1,1,1,1,8,greece,0,0,0,0,0,0,0,0,7,0,0,0,0,0,31
1994,0,3,0,nigeria,0,0,2,2,0,1,2,0,21,0,0,0,0,0,11,bulgaria,0,0,1,2,0,2,0,5,19,0,0,0,0,0,29
1994,0,2,1,argentina,0,0,0,3,4,1,0,2,17,1,1,1,1,1,8,nigeria,0,0,2,2,0,1,2,0,21,0,0,0,0,0,11
1994,0,0,4,greece,0,0,0,0,0,0,0,0,7,0,0,0,0,0,31,bulgaria,0,0,1,2,0,2,0,5,19,0,0,0,0,0,29
1994,0,0,2,greece,0,0,0,0,0,0,0,0,7,0,0,0,0,0,31,nigeria,0,0,2,2,0,1,2,0,21,0,0,0,0,0,11
1994,0,0,2,argentina,0,0,0,3,4,1,0,2,17,1,1,1,1,1,8,bulgaria,0,0,1,2,0,2,0,5,19,0,0,0,0,0,29
1994,0,0,1,italy,0,3,0,0,22,0,0,11,7,1,1,1,1,0,4,ireland,0,0,16,0,0,0,0,3,17,1,1,1,0,0,14
1994,0,1,0,norway,0,0,8,0,0,1,1,1,17,0,0,0,0,0,6,mexico,0,0,0,2,0,0,0,0,14,0,0,0,0,0,16
1994,0,1,0,italy,0,3,0,0,22,0,0,11,7,1,1,1,1,0,4,norway,0,0,8,0,0,1,1,1,17,0,0,0,0,0,6
1994,0,2,1,mexico,0,0,0,2,0,0,0,0,14,0,0,0,0,0,16,ireland,0,0,16,0,0,0,0,3,17,1,1,1,0,0,14
1994,0,0,0,ireland,0,0,16,0,0,0,0,3,17,1,1,1,0,0,14,norway,0,0,8,0,0,1,1,1,17,0,0,0,0,0,6
1994,0,1,1,italy,0,3,0,0,22,0,0,11,7,1,1,1,1,0,4,mexico,0,0,0,2,0,0,0,0,14,0,0,0,0,0,16
1994,0,1,0,belgium,0,0,0,0,1,0,1,1,9,1,1,0,0,0,27,morocco,0,0,2,0,0,1,2,0,16,0,0,0,0,0,28
1994,0,2,1,netherlands,0,0,0,1,4,0,0,3,10,1,1,0,0,0,2,saudi arabia,0,0,0,0,0,0,0,0,9,0,0,0,0,0,34
1994,0,1,0,belgium,0,0,0,0,1,0,1,1,9,1,1,0,0,0,27,netherlands,0,0,0,1,4,0,0,3,10,1,1,0,0,0,2
1994,0,2,1,saudi arabia,0,0,0,0,0,0,0,0,9,0,0,0,0,0,34,morocco,0,0,2,0,0,1,2,0,16,0,0,0,0,0,28
1994,0,1,2,morocco,0,0,2,0,0,1,2,0,16,0,0,0,0,0,28,netherlands,0,0,0,1,4,0,0,3,10,1,1,0,0,0,2
1994,0,0,1,belgium,0,0,0,0,1,0,1,1,9,1,1,0,0,0,27,saudi arabia,0,0,0,0,0,0,0,0,9,0,0,0,0,0,34
1994,1,3,2,germany,0,0,0,0,3,13,2,7,15,1,1,1,1,1,1,belgium,0,0,0,0,1,0,1,1,9,1,1,0,0,0,27
1994,1,3,0,spain,0,0,0,21,0,0,0,10,10,1,1,0,0,0,5,switzerland,0,1,0,0,0,3,0,1,13,0,0,0,0,0,12
1994,1,1,3,saudi arabia,0,0,0,0,0,0,0,0,9,0,0,0,0,0,34,sweden,0,0,0,0,0,0,0,0,2,1,0,0,0,0,10
1994,1,3,2,romania,0,0,0,1,2,1,0,1,15,1,1,0,0,0,7,argentina,0,0,0,3,4,1,0,2,17,1,1,1,1,1,8
1994,1,2,0,netherlands,0,0,0,1,4,0,0,3,10,1,1,0,0,0,2,ireland,0,0,16,0,0,0,0,3,17,1,1,1,0,0,14
1994,1,1,0,brazil,0,1,0,3,2,3,2,6,17,1,1,0,0,0,3,united states,1,0,3,0,0,2,0,2,20,1,0,0,0,0,23
